address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
179jEFpPVFMSBTR4QGfZ6yc83x4f82Kyo5,3667532.0,123,10,16.625,133,8,36690.5,107510.5,350751.0,5910.0,10954.73902052,10954.73902052,1369.34237756,82.3664588009,10954.739020519988,0
12HhYz7cXZuDCzgKBsxjweSX3dji3CSqmM,2891780.0,7,30,16.6,83,5,19658.0,37150.8,109898.0,15240.0,7.25639592,7.56338266,1.451279184,0.0911250922892,7.56338266,0
1DgjW62DAMj7ewd7KvE4vRFjUn6BjtCT9D,2793066.0,4,19,1.2777777777777777,23,18,1912.0,11261.117647,54736.0,0.0,108.04,108.04,6.00222222222,4.69739130435,108.04,0
1F2orVkFrXsvR5SiypTbyMMP6dFt9xJBik,220087632.0,2,237,60.5,242,4,3957261.0,56663247.33333299,165966890.0,65591.0,2.18,20.01885663,0.545,0.0827225480579,20.018856629999988,0
1JYFY5Uw2SxyGaMaygYHgnAbyA7mVs7TkL,88778862.0,4,253,6.595744680851063,310,47,20882.5,1350948.090909,29081068.0,1069.0,316.3788891,316.3788891,6.73146572553,1.02057706161,316.3788891000001,0
1QFcvUUCPLx5ia9dvryv5ZcUbc1GN9wb1j,100750949.0,3,28,6.2,31,5,19461.0,16379.0,28769.0,1055.0,44.0,44.01516012,8.8,1.41984387484,44.01516012,0
1BstkCpD9GCLEegBe19sTfJPtrb8Li9V8x,6468313.0,7,32,16.166666666666668,97,6,33304.0,153460.333333,425321.0,1756.0,24.9482788,24.9482788,4.15804646667,0.257198750515,24.948278800000004,0
1CoMgtgsVKKv238VLF4ovZyx8xhJRquTEf,32368159.0,16,15,1.2307692307692308,32,26,14285.5,499674.94444399996,6475833.0,1097.0,28.87,28.87,1.1103846153799999,0.9021875,28.87,0
11rufAvRvDmLZWKgReLtaxc4DiMWscpoF,43355098.0,3,69,4.0,60,15,316137.0,908465.833333,4283798.0,43741.0,523.64,523.64,34.9093333333,8.72733333333,523.64,0
1EkigX5TnGsQRuDtkXy5SJmTgojKz1dvuE,86909937.0,2,31,7.0,28,4,5313010.0,5313010.0,5313010.0,5313010.0,25.86,25.86,6.465,0.9235714285709999,25.86,0
1BbT3UwysLV98CyfKSnmNxhfZnfEyjVi6w,20305931.0,4,24,5.5,33,6,4395.0,8224.0,19055.0,3226.0,33.92,33.92,5.653333333330001,1.02787878788,33.92,0
