address,lifetime,most_active_day,activity_days,in_vs_out,num_in,num_out,addresses_in_out,median_delay,mean_delay,max_delay,min_delay,total_sent,total_recv,avg_out,avg_in,max_diff,class
1KjP9b1tdeTv1u7b1pCPU81L7fJjNKqQR,6470507,"('2011-04-12', 5)",57,1.848484848,61,33,67,3980,16396.11111,90260,224,1045.89,1045.89,31.69363636,17.1457377,1045.89,0
1NYwdDHVM3R7YRi4g3X3esgDW2PiwPnk77,5412990,"('2011-05-25', 3)",23,1.470588235,25,17,63,3680,9986.25,51385,136,57.26,57.26,3.368235294,2.2904,57.26,0
1Ca7eaWMo1ot3C5DRGDwx92hNpFePUrpzy,64651322,"('2011-04-23', 4)",117,18.45454545,203,11,67,61253,73987.85714,165529,14645,245.7391124,245.7391124,22.33991931,1.210537499,245.7391124,0
1nBr3Ag37jSbg3jMDuS6gmvcKA7f8xYoW,64165773,"('2011-05-17', 5)",45,1.72,43,25,67,29172,74801.04546,317678,500,61.4630264,61.4630264,2.458521056,1.429372707,61.4630264,0
19m4ccSDQk975x5xBHSx3f7A8oAcDDcUEq,7123232,"('2011-06-06', 4)",20,1,15,15,65,7059.5,28489.7,107320,337,53.91,53.91,3.594,3.594,53.91,0
1G1KpJzZxiZ3R6A5rHLC3hs9vjcaoUQkfa,14653928,"('2010-11-24', 6)",78,6.111111111,110,18,21,59725,78978.38462,226788,2638,6650.16,6650.16,369.4533333,60.456,6650.16,0
1DhHwmGGGZPK6uQ1MLX71ZL17HWsT1A5ua,3078884,"('2011-04-11', 3)",18,1,13,13,67,57851.5,58715.75,98930,20230,21.9,21.9,1.684615385,1.684615385,21.9,0
1PsACmccnGAYT9ee19SCFZHibQ98Z4HcNw,14179826,"('2011-01-12', 5)",19,4.375,35,8,67,21526.5,21526.5,35509,7544,1.37,1.37,0.17125,0.039142857,1.37,0
1Nj5MeCo2Qyk97iBcvQvjaksLgNiRs7L5H,815148,"('2011-05-24', 7)",10,1.045454545,23,22,63,1242,3252.619048,30135,227,79.41,79.41,3.609545455,3.452608696,79.41,0
1F35MvPKPSEc1L198dPR1weyXnkDG516fN,4247170,"('2011-06-06', 5)",43,4.866666667,73,15,67,12801,35226.90909,95322,1646,74.27,74.27,4.951333333,1.01739726,74.27,0
1FoWjUkEAZVZeHvrhhxC87E4NMuLbffKzw,91492156,"('2011-08-22', 3)",94,2.676470588,91,34,67,19297,152923.9677,2509688,325,212.539,212.539,6.251147059,2.335593407,212.539,0
1HYYrZfs2NRe4EkxQjYaBJezGEiSkFabjv,186000440,"('2011-12-11', 2)",152,25.33333333,152,6,65,129838,129838,129838,129838,30.61,82.6,5.101666667,0.543421053,82.6,0
